Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,169188,84,92,114,185,205,3,2095,0.00%,706.9,843.6,67.12,1624380761,1024,60
HTTP Request,198047,72,83,107,127,197,2,2297,0.00%,827.6,987.6,60.38,1624442077,1024,60
HTTP Request,929617,69,83,105,115,184,2,1384,0.00%,861.2,1027.7,42.14,1624596049,1024,60
HTTP Request,1206901,53,77,96,101,125,1,1286,0.00%,1118.2,1334.4,41.01,1624856088,1024,60
HTTP Request,1428296,45,23,89,95,110,1,1087,0.00%,1323.0,1578.8,37.41,1624932132,1024,60
HTTP Request,1136112,56,76,96,101,120,1,1205,0.00%,1052.3,252.8,38.62,1624943093,50,60
HTTP Request,21086,15317,15017,15033,15047,30039,14999,30144,99.85%,19.3,7.8,2080.79,1624944743,50,300
HTTP Request,973116,66,86,101,106,180,1,424,0.00%,901.3,1075.5,41.06,1624946352,1024,60
HTTP Request,21132,15373,15018,15031,15042,30039,9003,30090,99.21%,19.0,7.9,2228.32,1624948471,1024,300
HTTP Request,1019403,63,85,99,104,176,1,1502,0.00%,944.3,226.9,42.04,1624965714,50,60
HTTP Request,1042267,305,31,157,1183,15008,2,30165,99.99%,965.1,330.3,1705.12,1624967352,50,300
HTTP Request,1216452,53,71,94,99,119,1,1100,0.00%,1126.7,1344.6,36.60,1624969106,1024,60
HTTP Request,32353,10008,10010,10011,10011,10011,10000,10066,100.00%,29.7,66.8,2.45,1624970794,1024,300
HTTP Request,1428236,45,20,89,95,195,1,1301,0.00%,1322.9,317.8,42.71,1624974608,50,60
HTTP Request,20412,15850,15019,15038,30022,30048,12361,30129,99.89%,18.7,9.4,3426.42,1624976262,50,300
HTTP Request,1394752,46,24,90,95,108,1,1469,0.00%,1291.8,1541.6,37.10,1624977893,1024,60
HTTP Request,20649,15603,15018,15030,15046,30044,9906,30084,99.67%,18.8,8.6,2889.84,1624979545,1024,300
HTTP Request,1468269,44,21,88,93,109,1,2124,0.00%,1359.8,326.7,37.35,1625015576,50,60
HTTP Request,20592,15713,15015,15034,15114,30044,13063,30108,99.62%,18.8,8.9,3134.69,1625017466,50,300
