Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,685811,41,2,5,8,82,1,37196,0.23%,1408.4,197.7,703.38,1629892981,50,60
HTTP Request,805624,35,3,8,13,148,1,30036,0.07%,1679.4,232.5,830.59,1631163192,0,60
HTTP Request,847050,109,3,8,14,207,1,30045,0.31%,1765.3,255.1,1707.71,1631164429,0,200
HTTP Request,509737,57,3,85,90,183,0,30154,0.35%,1041.2,148.0,680.25,1632491938,0,60
HTTP Request,959,30028,30033,30034,30034,30038,30003,30047,100.00%,1.9,5.0,8.81,1632500201,0,60
HTTP Request,3189,30027,30032,30033,30034,30040,30002,30050,100.00%,6.3,16.5,8.81,1632501391,0,200
HTTP Request,1321005,21,4,84,87,93,0,30034,0.03%,2729.8,374.4,180.06,1632640358,0,60
HTTP Request,2031,13944,10010,30032,30033,30034,1,30036,100.00%,4.2,7.8,8691.42,1632723883,0,60
HTTP Request,959,30028,30032,30034,30034,30037,30003,30046,100.00%,1.9,5.0,8.71,1632725676,0,60
HTTP Request,3197,30028,30032,30034,30034,30037,30003,30043,100.00%,6.3,16.5,8.31,1632726880,0,200
HTTP Request,80,30029,30033,30034,30034,30036,30003,30039,100.00%,.2,.4,8.29,1632732659,0,5
HTTP Request,184670,2,2,3,4,6,1,24,0.00%,384.9,52.6,0.91,1632746479,0,1
HTTP Request,32,30027,30033,30035,30035,30035,30004,30035,100.00%,.1,.2,10.64,1632747619,0,2
HTTP Request,80,30029,30033,30034,30034,30035,30005,30036,100.00%,.2,.4,7.61,1632748867,0,5
HTTP Request,159,30029,30033,30034,30035,30039,30003,30086,100.00%,.3,.8,9.11,1632750032,0,10
HTTP Request,302504,1,1,2,3,5,0,31,0.00%,631.1,86.2,0.91,1632812165,0,1
HTTP Request,32,30027,30032,30033,30033,30034,30004,30034,100.00%,.1,.2,8.58,1632813387,0,2
