Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Date,Payload,Users
HTTP Request,778702,37,1,4,8,113,0,30032,0.16%,1592.0,222.1,715.72,1629881754,50,60
HTTP Request,983597,96,2,5,9,479,0,37336,0.49%,2049.7,298.0,1292.26,1629882895,50,200
HTTP Request,80,30028,30033,30034,30035,30035,30006,30035,100.00%,.2,.4,8.77,1632752386,0,5
HTTP Request,159,30029,30033,30034,30035,30037,30004,30038,100.00%,.3,.8,8.11,1632753567,0,10
HTTP Request,319,30027,30033,30034,30034,30035,30003,30039,100.00%,.6,1.7,8.33,1632754729,0,20
HTTP Request,479,30027,30032,30034,30034,30037,30002,30040,100.00%,.9,2.5,9.04,1632755920,0,30
HTTP Request,639,30028,30033,30034,30034,30035,30003,30039,100.00%,1.3,3.3,8.15,1632757118,0,40
HTTP Request,799,30027,30032,30034,30034,30036,30003,30040,100.00%,1.6,4.1,8.78,1632758306,0,50
HTTP Request,960,30029,30032,30034,30035,30040,30002,30044,100.00%,1.9,5.0,7.23,1632759486,0,60
HTTP Request,1600,30028,30032,30033,30034,30040,30002,30059,100.00%,3.2,8.3,8.10,1632760633,0,100
HTTP Request,639,30028,30033,30034,30034,30038,30003,30043,100.00%,1.3,3.3,8.74,1633428696,0,40
HTTP Request,799,30028,30032,30034,30035,30041,30003,30046,100.00%,1.6,4.1,8.74,1633429906,0,50
HTTP Request,880,30029,30032,30034,30034,30036,30002,30046,100.00%,1.8,4.7,7.13,1633431043,0,55
HTTP Request,959,30027,30033,30034,30034,30037,30003,30047,100.00%,1.9,5.0,8.80,1633432223,0,60
HTTP Request,101529,944,12,63,140,30032,1,30049,3.07%,199.2,42.5,5176.05,1633433489,0,200
HTTP Request,639,30028,30033,30034,30034,30035,30002,30038,100.00%,1.3,3.3,8.43,1633435947,0,40
HTTP Request,465963,52,8,43,80,218,1,30042,0.11%,951.1,132.6,990.17,1633437138,0,50
HTTP Request,129192,204,7,54,109,519,1,30056,0.60%,261.8,39.7,2318.28,1633438291,0,55
HTTP Request,960,30028,30032,30034,30034,30035,30002,30047,100.00%,1.9,5.0,8.61,1633439513,0,60
HTTP Request,573322,168,8,64,138,644,1,30056,0.45%,1126.1,166.7,2020.27,1633440787,0,200
HTTP Request,94861,201,1,8,64,160,0,30079,92.23%,193.2,63.4,2407.56,1633493459,0,40
HTTP Request,799,30028,30033,30034,30035,30037,30003,30042,100.00%,1.6,4.1,8.69,1633494625,0,50
